pl_name,pl_letter,pl_orbper,pl_trandep,pl_rade,pl_eqt,pl_trandur,st_rad,st_mass,st_teff,st_logg,ra,dec
WASP-47 d,d,9.03081,,3.63,,,1.15,1.04,5576.0,4.34,331.203092,-12.019067
K2-3 d,d,44.5705,,1.53,,4.07,0.553,0.612,,4.734,172.3353708,-1.4551364
K2-19 c,c,11.90715,,4.86,,,0.86,0.93,5430.0,4.63,174.9602543,0.603596
K2-19 d,d,2.50856,,1.14,1252.0,2.17,0.86,0.93,5430.0,4.63,174.9602543,0.603596
K2-19 b,b,7.9194,,7.74,854.0,3.502,0.86,0.93,5430.0,4.63,174.9602543,0.603596
K2-19 c,c,11.90715,,4.86,745.0,4.371,0.86,0.93,5430.0,4.63,174.9602543,0.603596
K2-19 d,d,2.50858,,1.22,,1.93,1.01,0.99,5748.0,4.43,174.9602543,0.603596
K2-19 b,b,7.91952,,8.2,,3.237,1.01,0.99,5748.0,4.43,174.9602543,0.603596
K2-19 b,b,7.920994,,7.34,,3.2688,0.914,0.902,5345.0,4.394,174.9602543,0.603596
K2-19 c,c,12.0028,,4.37,,3.6864,0.914,0.902,5345.0,4.394,174.9602543,0.603596
K2-19 d,d,2.5084894,0.019,1.26,,2.08,0.84,,5368.0,,174.9602543,0.603596
K2-19 c,c,11.90767,0.234,4.43,,3.88,0.84,,5368.0,,174.9602543,0.603596
K2-19 b,b,7.9194979,0.665,7.46,,3.31,0.84,,5368.0,,174.9602543,0.603596
K2-19 d,d,2.50856,,1.14,,,0.86,0.93,5430.0,4.63,174.9602543,0.603596
K2-19 b,b,7.9194,,7.74,,,0.86,0.93,5430.0,4.63,174.9602543,0.603596
K2-19 c,c,11.90724,,4.93,,3.823,1.01,0.99,5748.0,4.43,174.9602543,0.603596
K2-19 b,b,7.91952314,0.667,,,3.415,0.840476,0.92,5322.0,4.5528,174.9602543,0.603596
K2-19 d,d,2.508283,,1.15876577,,,0.833805,0.895163,5391.0,4.6,174.9602543,0.603596
K2-19 b,b,7.919493,,6.751484,,,0.833805,0.895163,5391.0,4.6,174.9602543,0.603596
K2-19 c,c,11.907625,,4.05161714,,,0.833805,0.895163,5391.0,4.6,174.9602543,0.603596
K2-19 c,c,23.81486,0.2325,4.1,,3.7848,0.823,,,,174.9602543,0.603596
