orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_density,disposition
18.11993039,1506.9,2.95,563.0,23.77,5196.0,1.866872545399617,CONFIRMED
3.78402867,426.1,1.7,949.0,191.78,5196.0,1.866872545399617,CONFIRMED
5.15448142,697.5,2.94,964.0,204.1,5431.0,1.1812269956042605,CONFIRMED
33.80364366,13494.4,20.7,745.0,72.71,5855.0,0.2026511627429111,FALSE POSITIVE
5.743469797,1240.2,3.13,982.0,219.95,5897.0,1.3896979143239812,CONFIRMED
39.4759093,1012.6,4.06,577.0,26.13,6225.0,0.9955171697599068,CANDIDATE
19.974485239,40293.1,26.56,700.0,56.84,6108.0,1.0817061787479725,FALSE POSITIVE
3.166353562,1473.4,3.82,1273.0,621.92,6007.0,1.0784578140180023,CONFIRMED
23.899634407,20953.1,44.04,652.0,42.8,6192.0,1.2561969679527445,FALSE POSITIVE
3.388012244,280.1,2.11,1315.0,705.93,5553.0,0.485888,CONFIRMED
5.83909761,273.6,2.06,1097.0,341.48,5553.0,0.485888,CONFIRMED
1.620467654,159.6,1.57,1681.0,1893.42,5553.0,0.485888,CONFIRMED
10.6816951,307.8,2.3,897.0,152.75,5553.0,0.485888,CONFIRMED
6.104849417,2090.3,3.18,784.0,89.25,5085.0,1.9670634453429867,CONFIRMED
3.578780566,11382.2,10.43,1145.0,406.6,5524.0,0.9673072706243818,CONFIRMED
3.187067566,1037.4,23.88,1079.0,319.76,5450.0,1.60663883112087,FALSE POSITIVE
5.826657508,1539.1,4.09,1013.0,248.57,5561.0,0.7917609838994606,CONFIRMED
12.41216347,611.3,2.58,787.0,90.65,5561.0,0.7917609838994606,CONFIRMED
18.74649011,796.8,3.05,686.0,52.38,5561.0,0.7917609838994606,CONFIRMED
20.86021229,1910.5,5.5,781.0,87.76,6035.0,0.482347104717269,CONFIRMED
